2019-03-12 11:32:06	admin_bruno	http://localhost/processwire-master/login/	Error: 	Exception: Method Pages::url does not exist or is not callable in this context (in C:\xampp\htdocs\processwire-master\wire\core\Wire.php line 519)  #0 C:\xampp\htdocs\processwire-master\wire\core\Wire.php(386): ProcessWire\Wire->___callUnknown('url', Array) #1 C:\xampp\htdocs\processwire-master\wire\core\WireHooks.php(723): ProcessWire\Wire->_callMethod('___callUnknown', Array) #2 C:\xampp\htdocs\processwire-master\wire\core\Wire.php(442): ProcessWire\WireHooks->runHooks(Object(ProcessWire\Pages), 'callUnknown', Array) #3 C:\xampp\htdocs\processwire-master\wire\core\Wire.php(445): ProcessWire\Wire->__call('callUnknown', Array) #4 C:\xampp\htdocs\processwire-master\site\templates\login.php(14): ProcessWire\Wire->__call('url', Array) #5 C:\xampp\htdocs\processwire-master\wire\core\TemplateFile.php(287): require('C:\\xampp\\htdocs...') #6 C:\xampp\htdocs\processwire-master\wire\core\Wire.php(380): ProcessWire\TemplateFile->___render() #7 C:\xampp\htdocs\processwire-master\wire\core\WireHooks.php(723): ProcessWir
2019-03-12 11:32:32	admin_bruno	http://localhost/processwire-master/login/	Error: 	Exception: Method Session::url does not exist or is not callable in this context (in C:\xampp\htdocs\processwire-master\wire\core\Wire.php line 519)  #0 C:\xampp\htdocs\processwire-master\wire\core\Wire.php(386): ProcessWire\Wire->___callUnknown('url', Array) #1 C:\xampp\htdocs\processwire-master\wire\core\WireHooks.php(723): ProcessWire\Wire->_callMethod('___callUnknown', Array) #2 C:\xampp\htdocs\processwire-master\wire\core\Wire.php(442): ProcessWire\WireHooks->runHooks(Object(ProcessWire\Session), 'callUnknown', Array) #3 C:\xampp\htdocs\processwire-master\wire\core\Wire.php(445): ProcessWire\Wire->__call('callUnknown', Array) #4 C:\xampp\htdocs\processwire-master\site\templates\login.php(14): ProcessWire\Wire->__call('url', Array) #5 C:\xampp\htdocs\processwire-master\wire\core\TemplateFile.php(287): require('C:\\xampp\\htdocs...') #6 C:\xampp\htdocs\processwire-master\wire\core\Wire.php(380): ProcessWire\TemplateFile->___render() #7 C:\xampp\htdocs\processwire-master\wire\core\WireHooks.php(723): Proces
2019-03-12 11:41:19	admin_bruno	http://localhost/processwire-master/login/	Error: 	Exception: Method Pages::url does not exist or is not callable in this context (in C:\xampp\htdocs\processwire-master\wire\core\Wire.php line 519)  #0 C:\xampp\htdocs\processwire-master\wire\core\Wire.php(386): ProcessWire\Wire->___callUnknown('url', Array) #1 C:\xampp\htdocs\processwire-master\wire\core\WireHooks.php(723): ProcessWire\Wire->_callMethod('___callUnknown', Array) #2 C:\xampp\htdocs\processwire-master\wire\core\Wire.php(442): ProcessWire\WireHooks->runHooks(Object(ProcessWire\Pages), 'callUnknown', Array) #3 C:\xampp\htdocs\processwire-master\wire\core\Wire.php(445): ProcessWire\Wire->__call('callUnknown', Array) #4 C:\xampp\htdocs\processwire-master\site\templates\login.php(15): ProcessWire\Wire->__call('url', Array) #5 C:\xampp\htdocs\processwire-master\wire\core\TemplateFile.php(287): require('C:\\xampp\\htdocs...') #6 C:\xampp\htdocs\processwire-master\wire\core\Wire.php(380): ProcessWire\TemplateFile->___render() #7 C:\xampp\htdocs\processwire-master\wire\core\WireHooks.php(723): ProcessWir
2019-03-12 11:42:42	admin_bruno	http://localhost/processwire-master/login/	Error: 	Exception: Unknown Selector operator: '' -- was your selector value properly escaped?  (in C:\xampp\htdocs\processwire-master\wire\core\Selectors.php line 419)  #0 C:\xampp\htdocs\processwire-master\wire\core\Selectors.php(460): ProcessWire\Selectors->create('home', '', '') #1 C:\xampp\htdocs\processwire-master\wire\core\Selectors.php(142): ProcessWire\Selectors->extractString('') #2 C:\xampp\htdocs\processwire-master\wire\core\Selectors.php(128): ProcessWire\Selectors->setSelectorString('home') #3 C:\xampp\htdocs\processwire-master\wire\core\PagesLoader.php(217): ProcessWire\Selectors->init('home') #4 C:\xampp\htdocs\processwire-master\wire\core\Pages.php(238): ProcessWire\PagesLoader->find('home', Array) #5 C:\xampp\htdocs\processwire-master\wire\core\Wire.php(386): ProcessWire\Pages->___find('home', Array) #6 C:\xampp\htdocs\processwire-master\wire\core\WireHooks.php(723): ProcessWire\Wire->_callMethod('___find', Array) #7 C:\xampp\htdocs\processwire-master\wire\core\Wire.php(442): ProcessWire\WireHooks->r
2019-03-13 14:53:54	admin_bruno	http://localhost/processwire-master/	Parse Error: 	syntax error, unexpected 'if' (T_IF) (line 15 of C:\xampp\htdocs\processwire-master\site\assets\cache\FileCompiler\site\templates\home.php)
2019-03-20 09:54:15	guest	http://localhost/processwire-master/	Parse Error: 	syntax error, unexpected '"', expecting ',' or ';' (line 55 of C:\xampp\htdocs\processwire-master\site\templates\_head.php)
2019-03-20 09:54:19	guest	http://localhost/processwire-master/	Parse Error: 	syntax error, unexpected '"', expecting ',' or ';' (line 55 of C:\xampp\htdocs\processwire-master\site\templates\_head.php)
2019-03-20 09:54:30	guest	http://localhost/processwire-master/	Parse Error: 	syntax error, unexpected '"', expecting ',' or ';' (line 55 of C:\xampp\htdocs\processwire-master\site\templates\_head.php)
2019-03-20 09:54:36	guest	http://localhost/processwire-master/	Parse Error: 	syntax error, unexpected '"', expecting ',' or ';' (line 55 of C:\xampp\htdocs\processwire-master\site\templates\_head.php)
2019-03-20 10:08:26	guest	http://localhost/processwire-master/	Error: 	Exception: Unknown Selector operator: '' -- was your selector value properly escaped?  (in C:\xampp\htdocs\processwire-master\wire\core\Selectors.php line 419)
2019-03-20 11:08:46	guest	http://localhost/processwire-master/sobre/	Parse Error: 	syntax error, unexpected ')' (line 28 of C:\xampp\htdocs\processwire-master\site\assets\cache\FileCompiler\site\templates\_func.php)
2019-03-20 11:08:48	guest	http://localhost/processwire-master/	Parse Error: 	syntax error, unexpected ')' (line 28 of C:\xampp\htdocs\processwire-master\site\assets\cache\FileCompiler\site\templates\_func.php)
2019-03-20 14:01:28	guest	http://localhost/processwire-master/	Fatal Error: 	Uncaught Error: Call to a member function get() on null in C:\xampp\htdocs\processwire-master\site\assets\cache\FileCompiler\site\templates\_func.php:32 Stack trace: #0 C:\xampp\htdocs\processwire-master\site\assets\cache\FileCompiler\site\templates\_func.php(80): renderNav(Object(ProcessWire\PageArray)) #1 C:\xampp\htdocs\processwire-master\site\templates\_head.php(70): renderNavTree(Array, 4) #2 C:\xampp\htdocs\processwire-master\site\assets\cache\FileCompiler\site\templates\home.php(3): include('C:\\xampp\\htdocs...') #3 C:\xampp\htdocs\processwire-master\wire\core\TemplateFile.php(287): require('C:\\xampp\\htdocs...') #4 C:\xampp\htdocs\processwire-master\wire\core\Wire.php(380): ProcessWire\TemplateFile->___render() #5 C:\xampp\htdocs\processwire-master\wire\core\WireHooks.php(723): ProcessWire\Wire->_callMethod('___render', Array) #6 C:\xampp\htdocs\processwire-master\wire\core\Wire.php(442): ProcessWire\WireHooks->runHooks(Object(ProcessWire\TemplateFile), 'render', Array) #7 C:\xampp\htdocs\processwir (line 32 of C:\xampp\htdocs\processwire-master\site\assets\cache\FileCompiler\site\templates\_func.php)
2019-03-20 14:01:35	guest	http://localhost/processwire-master/	Fatal Error: 	Uncaught Error: Call to a member function get() on null in C:\xampp\htdocs\processwire-master\site\assets\cache\FileCompiler\site\templates\_func.php:32 Stack trace: #0 C:\xampp\htdocs\processwire-master\site\assets\cache\FileCompiler\site\templates\_func.php(80): renderNav(Object(ProcessWire\PageArray)) #1 C:\xampp\htdocs\processwire-master\site\templates\_head.php(70): renderNavTree(Array, 4) #2 C:\xampp\htdocs\processwire-master\site\assets\cache\FileCompiler\site\templates\home.php(3): include('C:\\xampp\\htdocs...') #3 C:\xampp\htdocs\processwire-master\wire\core\TemplateFile.php(287): require('C:\\xampp\\htdocs...') #4 C:\xampp\htdocs\processwire-master\wire\core\Wire.php(380): ProcessWire\TemplateFile->___render() #5 C:\xampp\htdocs\processwire-master\wire\core\WireHooks.php(723): ProcessWire\Wire->_callMethod('___render', Array) #6 C:\xampp\htdocs\processwire-master\wire\core\Wire.php(442): ProcessWire\WireHooks->runHooks(Object(ProcessWire\TemplateFile), 'render', Array) #7 C:\xampp\htdocs\processwir (line 32 of C:\xampp\htdocs\processwire-master\site\assets\cache\FileCompiler\site\templates\_func.php)
2019-03-20 14:01:51	guest	http://localhost/processwire-master/	Fatal Error: 	Uncaught Error: Call to a member function get() on null in C:\xampp\htdocs\processwire-master\site\assets\cache\FileCompiler\site\templates\_func.php:32 Stack trace: #0 C:\xampp\htdocs\processwire-master\site\assets\cache\FileCompiler\site\templates\_func.php(80): renderNav(Object(ProcessWire\PageArray)) #1 C:\xampp\htdocs\processwire-master\site\templates\_head.php(70): renderNavTree(Array, 4) #2 C:\xampp\htdocs\processwire-master\site\assets\cache\FileCompiler\site\templates\home.php(3): include('C:\\xampp\\htdocs...') #3 C:\xampp\htdocs\processwire-master\wire\core\TemplateFile.php(287): require('C:\\xampp\\htdocs...') #4 C:\xampp\htdocs\processwire-master\wire\core\Wire.php(380): ProcessWire\TemplateFile->___render() #5 C:\xampp\htdocs\processwire-master\wire\core\WireHooks.php(723): ProcessWire\Wire->_callMethod('___render', Array) #6 C:\xampp\htdocs\processwire-master\wire\core\Wire.php(442): ProcessWire\WireHooks->runHooks(Object(ProcessWire\TemplateFile), 'render', Array) #7 C:\xampp\htdocs\processwir (line 32 of C:\xampp\htdocs\processwire-master\site\assets\cache\FileCompiler\site\templates\_func.php)
2019-03-20 15:57:51	?	http://localhost/processwire-master/	Fatal Error: 	Maximum execution time of 30 seconds exceeded (line 271 of C:\xampp\htdocs\processwire-master\wire\core\WireCache.php)
